[2020-06-04 06:01:05]	select * from _jpostads  where (date(postedon)>=date('2020-06-04') and date(postedon)<=date('2020-06-04') )  order by postadid desc  
[2020-06-04 06:01:17]	select * from _jpostads  where (date(postedon)>=date('2020-3-4') and date(postedon)<=date('2020-3-31') )  order by postadid desc  
[2020-06-04 06:01:39]	select * from _jpostads  where (date(postedon)>=date('2020-06-04') and date(postedon)<=date('2020-06-04') )  order by postadid desc  
[2020-06-04 06:01:49]	select * from _jpostads  where (date(postedon)>=date('2020-3-1') and date(postedon)<=date('2020-3-31') )  order by postadid desc  
[2020-06-04 06:02:30]	select * from _jpostads  where (date(postedon)>=date('2020-3-1') and date(postedon)<=date('2020-3-31') )  order by postadid desc  
[2020-06-04 06:04:08]	SELECT * FROM _jpostads AS p, _jcategory AS c, _jsubcategory AS s WHERE  p.isdeleted='0' and s.categid=c.categid and p.postadid=1
[2020-06-04 06:04:17]	select * from _jpostads  where (date(postedon)>=date('2020-3-1') and date(postedon)<=date('2020-3-31') )  order by postadid desc  
[2020-06-04 06:04:25]	SELECT * FROM _jpostads AS p, _jcategory AS c, _jsubcategory AS s WHERE  p.isdeleted='0' and s.categid=c.categid and p.postadid=1
[2020-06-04 06:06:04]	SELECT * FROM _jpostads AS p, _jcategory AS c, _jsubcategory AS s WHERE  p.isdeleted='0' and s.categid=c.categid and p.postadid='1' 
[2020-06-04 06:06:29]	SELECT * FROM _jpostads AS p, _jcategory AS c, _jsubcategory AS s WHERE  p.isdeleted='0' and s.categid=c.categid and p.postadid='1' 
[2020-06-04 06:08:49]	select * from _jpostads  where postadid=''
[2020-06-04 06:08:49]	SELECT * FROM _jpostads left join _jcategory on  _jpostads.categid=_jcategory.categid  where  _jpostads.isdeleted='0'  order by postadid desc  limit 0,24 
[2020-06-04 06:08:49]	select * from _jstatenames
[2020-06-04 06:08:50]	select * from _jdistrictnames where stateid='31' order by districtname
[2020-06-04 06:08:50]	select * from _jcategory
[2020-06-04 06:09:20]	select * from _jpostads  where (date(postedon)>=date('2020-3-1') and date(postedon)<=date('2020-3-31') )  order by postadid desc  
[2020-06-04 06:09:43]	SELECT * FROM _jpostads AS p, _jcategory AS c, _jsubcategory AS s WHERE  p.isdeleted='0' and s.categid=c.categid and p.postadid='1' 
[2020-06-04 06:09:45]	select * from _jpostads  where postadid=''
[2020-06-04 06:09:45]	SELECT * FROM _jpostads left join _jcategory on  _jpostads.categid=_jcategory.categid  where  _jpostads.isdeleted='0'  order by postadid desc  limit 0,24 
[2020-06-04 06:09:45]	select * from _jstatenames
